Category: All categories

Month,dow jones industrial average: (United States)
2004-01,5
2004-02,5
2004-03,5
2004-04,6
2004-05,5
2004-06,3
2004-07,2
2004-08,2
2004-09,3
2004-10,5
2004-11,5
2004-12,4
2005-01,4
2005-02,5
2005-03,5
2005-04,5
2005-05,3
2005-06,2
2005-07,2
2005-08,2
2005-09,4
2005-10,3
2005-11,4
2005-12,3
2006-01,5
2006-02,3
2006-03,4
2006-04,4
2006-05,3
2006-06,3
2006-07,2
2006-08,3
2006-09,3
2006-10,6
2006-11,4
2006-12,3
2007-01,4
2007-02,5
2007-03,6
2007-04,5
2007-05,4
2007-06,3
2007-07,6
2007-08,8
2007-09,5
2007-10,5
2007-11,6
2007-12,5
2008-01,10
2008-02,5
2008-03,8
2008-04,7
2008-05,5
2008-06,5
2008-07,6
2008-08,4
2008-09,22
2008-10,69
2008-11,43
2008-12,33
2009-01,26
2009-02,33
2009-03,45
2009-04,27
2009-05,22
2009-06,21
2009-07,22
2009-08,20
2009-09,18
2009-10,21
2009-11,20
2009-12,16
2010-01,16
2010-02,18
2010-03,18
2010-04,18
2010-05,26
2010-06,19
2010-07,12
2010-08,9
2010-09,8
2010-10,8
2010-11,9
2010-12,8
2011-01,8
2011-02,10
2011-03,13
2011-04,10
2011-05,9
2011-06,10
2011-07,10
2011-08,36
2011-09,16
2011-10,13
2011-11,13
2011-12,9
2012-01,7
2012-02,8
2012-03,9
2012-04,9
2012-05,10
2012-06,10
2012-07,7
2012-08,5
2012-09,5
2012-10,8
2012-11,12
2012-12,9
2013-01,13
2013-02,14
2013-03,17
2013-04,18
2013-05,19
2013-06,19
2013-07,18
2013-08,19
2013-09,19
2013-10,24
2013-11,19
2013-12,18
2014-01,18
2014-02,22
2014-03,21
2014-04,22
2014-05,19
2014-06,19
2014-07,19
2014-08,21
2014-09,19
2014-10,35
2014-11,24
2014-12,28
2015-01,28
2015-02,24
2015-03,26
2015-04,26
2015-05,23
2015-06,27
2015-07,33
2015-08,75
2015-09,77
2015-10,33
2015-11,30
2015-12,29
2016-01,69
2016-02,51
2016-03,42
2016-04,36
2016-05,37
2016-06,60
2016-07,41
2016-08,27
2016-09,26
2016-10,24
2016-11,48
2016-12,30
2017-01,28
2017-02,26
2017-03,31
2017-04,33
2017-05,34
2017-06,30
2017-07,23
2017-08,27
2017-09,26
2017-10,30
2017-11,29
2017-12,27
2018-01,38
2018-02,100
2018-03,72
2018-04,71
2018-05,49
2018-06,48
2018-07,47
2018-08,48
2018-09,35
2018-10,63
2018-11,56
2018-12,70
2019-01,61
2019-02,51
2019-03,46
2019-04,43
2019-05,52
2019-06,45
2019-07,42
2019-08,55
2019-09,38
2019-10,39
2019-11,31
2019-12,30
2020-01,37
2020-02,47
2020-03,93
2020-04,60
2020-05,47
2020-06,56
2020-07,43
2020-08,33
2020-09,37
2020-10,40
2020-11,38
2020-12,32
2021-01,29
2021-02,27
2021-03,31
2021-04,24
2021-05,23
2021-06,22
2021-07,22
2021-08,21
2021-09,22
2021-10,22
2021-11,21
2021-12,24
2022-01,23
2022-02,27
2022-03,28
2022-04,24
2022-05,35
