Category: All categories

Month,dow jones live futures: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,1
2007-12,0
2008-01,1
2008-02,1
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,1
2008-09,1
2008-10,3
2008-11,5
2008-12,2
2009-01,4
2009-02,2
2009-03,4
2009-04,1
2009-05,2
2009-06,1
2009-07,1
2009-08,2
2009-09,2
2009-10,1
2009-11,1
2009-12,1
2010-01,1
2010-02,1
2010-03,<1
2010-04,1
2010-05,<1
2010-06,<1
2010-07,1
2010-08,<1
2010-09,<1
2010-10,0
2010-11,<1
2010-12,1
2011-01,0
2011-02,<1
2011-03,1
2011-04,<1
2011-05,<1
2011-06,0
2011-07,<1
2011-08,1
2011-09,0
2011-10,<1
2011-11,1
2011-12,<1
2012-01,<1
2012-02,<1
2012-03,<1
2012-04,<1
2012-05,0
2012-06,<1
2012-07,<1
2012-08,1
2012-09,1
2012-10,1
2012-11,<1
2012-12,1
2013-01,1
2013-02,<1
2013-03,1
2013-04,1
2013-05,1
2013-06,2
2013-07,1
2013-08,<1
2013-09,2
2013-10,2
2013-11,1
2013-12,<1
2014-01,1
2014-02,1
2014-03,<1
2014-04,1
2014-05,1
2014-06,1
2014-07,<1
2014-08,2
2014-09,1
2014-10,2
2014-11,2
2014-12,3
2015-01,1
2015-02,1
2015-03,1
2015-04,2
2015-05,2
2015-06,1
2015-07,1
2015-08,3
2015-09,5
2015-10,1
2015-11,2
2015-12,2
2016-01,8
2016-02,7
2016-03,3
2016-04,2
2016-05,3
2016-06,6
2016-07,4
2016-08,3
2016-09,2
2016-10,2
2016-11,17
2016-12,3
2017-01,5
2017-02,4
2017-03,4
2017-04,3
2017-05,3
2017-06,1
2017-07,1
2017-08,3
2017-09,2
2017-10,3
2017-11,3
2017-12,3
2018-01,6
2018-02,18
2018-03,10
2018-04,11
2018-05,6
2018-06,6
2018-07,7
2018-08,6
2018-09,4
2018-10,11
2018-11,11
2018-12,15
2019-01,10
2019-02,12
2019-03,8
2019-04,7
2019-05,10
2019-06,9
2019-07,9
2019-08,14
2019-09,9
2019-10,10
2019-11,7
2019-12,7
2020-01,10
2020-02,15
2020-03,100
2020-04,53
2020-05,33
2020-06,37
2020-07,28
2020-08,18
2020-09,20
2020-10,21
2020-11,22
2020-12,14
2021-01,20
2021-02,19
2021-03,16
2021-04,12
2021-05,16
2021-06,12
2021-07,15
2021-08,11
2021-09,11
2021-10,13
2021-11,13
2021-12,19
2022-01,13
2022-02,21
2022-03,18
2022-04,15
2022-05,25
