Category: All categories

Month,dow jones share price: (United States)
2004-01,0
2004-02,0
2004-03,8
2004-04,6
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,5
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,4
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,3
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,5
2006-08,0
2006-09,4
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,2
2007-03,2
2007-04,0
2007-05,0
2007-06,2
2007-07,0
2007-08,2
2007-09,3
2007-10,1
2007-11,1
2007-12,0
2008-01,0
2008-02,3
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,2
2008-10,7
2008-11,6
2008-12,2
2009-01,1
2009-02,2
2009-03,9
2009-04,1
2009-05,0
2009-06,2
2009-07,2
2009-08,2
2009-09,3
2009-10,5
2009-11,1
2009-12,0
2010-01,4
2010-02,3
2010-03,1
2010-04,1
2010-05,3
2010-06,3
2010-07,3
2010-08,1
2010-09,1
2010-10,2
2010-11,5
2010-12,0
2011-01,2
2011-02,2
2011-03,1
2011-04,2
2011-05,1
2011-06,1
2011-07,0
2011-08,4
2011-09,2
2011-10,2
2011-11,2
2011-12,1
2012-01,1
2012-02,1
2012-03,1
2012-04,2
2012-05,2
2012-06,3
2012-07,2
2012-08,2
2012-09,1
2012-10,2
2012-11,1
2012-12,1
2013-01,3
2013-02,2
2013-03,3
2013-04,5
2013-05,5
2013-06,2
2013-07,2
2013-08,2
2013-09,3
2013-10,3
2013-11,3
2013-12,3
2014-01,4
2014-02,6
2014-03,2
2014-04,3
2014-05,4
2014-06,4
2014-07,1
2014-08,2
2014-09,3
2014-10,3
2014-11,7
2014-12,3
2015-01,3
2015-02,3
2015-03,4
2015-04,6
2015-05,4
2015-06,5
2015-07,6
2015-08,8
2015-09,9
2015-10,8
2015-11,8
2015-12,5
2016-01,15
2016-02,8
2016-03,7
2016-04,8
2016-05,7
2016-06,9
2016-07,7
2016-08,5
2016-09,6
2016-10,8
2016-11,9
2016-12,12
2017-01,8
2017-02,8
2017-03,10
2017-04,6
2017-05,9
2017-06,14
2017-07,7
2017-08,7
2017-09,10
2017-10,10
2017-11,10
2017-12,10
2018-01,14
2018-02,35
2018-03,24
2018-04,22
2018-05,24
2018-06,18
2018-07,19
2018-08,20
2018-09,16
2018-10,24
2018-11,22
2018-12,26
2019-01,21
2019-02,21
2019-03,17
2019-04,18
2019-05,23
2019-06,21
2019-07,21
2019-08,28
2019-09,24
2019-10,20
2019-11,17
2019-12,19
2020-01,21
2020-02,33
2020-03,100
2020-04,62
2020-05,51
2020-06,59
2020-07,39
2020-08,32
2020-09,42
2020-10,44
2020-11,49
2020-12,41
2021-01,44
2021-02,54
2021-03,47
2021-04,37
2021-05,34
2021-06,34
2021-07,34
2021-08,39
2021-09,33
2021-10,34
2021-11,38
2021-12,46
2022-01,46
2022-02,52
2022-03,50
2022-04,59
2022-05,72
