Category: All categories

Month,dow jones: (United States)
2004-01,2
2004-02,1
2004-03,2
2004-04,2
2004-05,1
2004-06,1
2004-07,1
2004-08,1
2004-09,1
2004-10,2
2004-11,2
2004-12,1
2005-01,2
2005-02,1
2005-03,1
2005-04,2
2005-05,1
2005-06,1
2005-07,1
2005-08,1
2005-09,1
2005-10,1
2005-11,1
2005-12,1
2006-01,2
2006-02,1
2006-03,1
2006-04,1
2006-05,1
2006-06,1
2006-07,1
2006-08,1
2006-09,1
2006-10,2
2006-11,1
2006-12,1
2007-01,1
2007-02,2
2007-03,2
2007-04,1
2007-05,2
2007-06,1
2007-07,2
2007-08,3
2007-09,2
2007-10,2
2007-11,2
2007-12,2
2008-01,3
2008-02,2
2008-03,2
2008-04,2
2008-05,1
2008-06,2
2008-07,2
2008-08,1
2008-09,7
2008-10,18
2008-11,8
2008-12,5
2009-01,4
2009-02,6
2009-03,10
2009-04,6
2009-05,4
2009-06,4
2009-07,4
2009-08,4
2009-09,3
2009-10,4
2009-11,3
2009-12,3
2010-01,3
2010-02,3
2010-03,3
2010-04,3
2010-05,4
2010-06,3
2010-07,3
2010-08,3
2010-09,2
2010-10,2
2010-11,2
2010-12,2
2011-01,2
2011-02,2
2011-03,3
2011-04,2
2011-05,2
2011-06,2
2011-07,2
2011-08,11
2011-09,5
2011-10,4
2011-11,4
2011-12,3
2012-01,2
2012-02,2
2012-03,2
2012-04,2
2012-05,2
2012-06,3
2012-07,2
2012-08,2
2012-09,2
2012-10,2
2012-11,4
2012-12,2
2013-01,3
2013-02,3
2013-03,3
2013-04,3
2013-05,3
2013-06,4
2013-07,3
2013-08,3
2013-09,3
2013-10,4
2013-11,3
2013-12,3
2014-01,4
2014-02,4
2014-03,3
2014-04,3
2014-05,3
2014-06,3
2014-07,3
2014-08,3
2014-09,3
2014-10,6
2014-11,4
2014-12,5
2015-01,5
2015-02,4
2015-03,5
2015-04,4
2015-05,4
2015-06,5
2015-07,6
2015-08,12
2015-09,11
2015-10,6
2015-11,4
2015-12,5
2016-01,10
2016-02,8
2016-03,7
2016-04,5
2016-05,5
2016-06,8
2016-07,6
2016-08,5
2016-09,4
2016-10,4
2016-11,9
2016-12,6
2017-01,7
2017-02,6
2017-03,6
2017-04,5
2017-05,6
2017-06,6
2017-07,5
2017-08,7
2017-09,5
2017-10,6
2017-11,6
2017-12,7
2018-01,9
2018-02,26
2018-03,18
2018-04,19
2018-05,13
2018-06,14
2018-07,13
2018-08,13
2018-09,11
2018-10,19
2018-11,18
2018-12,28
2019-01,23
2019-02,18
2019-03,17
2019-04,16
2019-05,21
2019-06,18
2019-07,17
2019-08,28
2019-09,18
2019-10,18
2019-11,16
2019-12,17
2020-01,19
2020-02,31
2020-03,100
2020-04,55
2020-05,37
2020-06,46
2020-07,36
2020-08,28
2020-09,30
2020-10,33
2020-11,32
2020-12,26
2021-01,26
2021-02,26
2021-03,27
2021-04,23
2021-05,23
2021-06,22
2021-07,22
2021-08,21
2021-09,20
2021-10,20
2021-11,21
2021-12,24
2022-01,25
2022-02,28
2022-03,31
2022-04,26
2022-05,42
