Category: All categories

Month,dow today: (United States)
2004-01,<1
2004-02,<1
2004-03,<1
2004-04,<1
2004-05,<1
2004-06,<1
2004-07,<1
2004-08,<1
2004-09,<1
2004-10,0
2004-11,<1
2004-12,<1
2005-01,<1
2005-02,<1
2005-03,<1
2005-04,<1
2005-05,<1
2005-06,<1
2005-07,<1
2005-08,<1
2005-09,<1
2005-10,<1
2005-11,<1
2005-12,<1
2006-01,<1
2006-02,<1
2006-03,<1
2006-04,<1
2006-05,<1
2006-06,<1
2006-07,<1
2006-08,<1
2006-09,<1
2006-10,<1
2006-11,<1
2006-12,<1
2007-01,<1
2007-02,<1
2007-03,<1
2007-04,<1
2007-05,<1
2007-06,<1
2007-07,<1
2007-08,<1
2007-09,<1
2007-10,<1
2007-11,<1
2007-12,<1
2008-01,<1
2008-02,<1
2008-03,<1
2008-04,<1
2008-05,<1
2008-06,<1
2008-07,<1
2008-08,<1
2008-09,1
2008-10,4
2008-11,2
2008-12,1
2009-01,1
2009-02,1
2009-03,2
2009-04,2
2009-05,1
2009-06,1
2009-07,1
2009-08,1
2009-09,1
2009-10,1
2009-11,1
2009-12,1
2010-01,1
2010-02,1
2010-03,1
2010-04,1
2010-05,3
2010-06,2
2010-07,2
2010-08,1
2010-09,1
2010-10,1
2010-11,1
2010-12,1
2011-01,1
2011-02,1
2011-03,1
2011-04,1
2011-05,1
2011-06,1
2011-07,1
2011-08,4
2011-09,2
2011-10,1
2011-11,1
2011-12,1
2012-01,1
2012-02,1
2012-03,1
2012-04,1
2012-05,1
2012-06,1
2012-07,1
2012-08,1
2012-09,1
2012-10,1
2012-11,1
2012-12,1
2013-01,1
2013-02,1
2013-03,1
2013-04,1
2013-05,1
2013-06,1
2013-07,1
2013-08,1
2013-09,1
2013-10,1
2013-11,1
2013-12,1
2014-01,1
2014-02,1
2014-03,1
2014-04,1
2014-05,1
2014-06,1
2014-07,1
2014-08,1
2014-09,1
2014-10,2
2014-11,1
2014-12,1
2015-01,2
2015-02,1
2015-03,1
2015-04,2
2015-05,1
2015-06,2
2015-07,2
2015-08,6
2015-09,7
2015-10,5
2015-11,2
2015-12,2
2016-01,5
2016-02,5
2016-03,4
2016-04,3
2016-05,2
2016-06,3
2016-07,3
2016-08,3
2016-09,2
2016-10,2
2016-11,4
2016-12,4
2017-01,5
2017-02,5
2017-03,5
2017-04,4
2017-05,4
2017-06,6
2017-07,5
2017-08,8
2017-09,5
2017-10,6
2017-11,6
2017-12,8
2018-01,13
2018-02,28
2018-03,24
2018-04,24
2018-05,19
2018-06,19
2018-07,17
2018-08,17
2018-09,14
2018-10,22
2018-11,21
2018-12,28
2019-01,28
2019-02,21
2019-03,20
2019-04,19
2019-05,24
2019-06,21
2019-07,20
2019-08,29
2019-09,21
2019-10,22
2019-11,19
2019-12,20
2020-01,24
2020-02,33
2020-03,100
2020-04,64
2020-05,42
2020-06,53
2020-07,44
2020-08,35
2020-09,38
2020-10,43
2020-11,41
2020-12,37
2021-01,38
2021-02,39
2021-03,40
2021-04,35
2021-05,34
2021-06,35
2021-07,34
2021-08,34
2021-09,33
2021-10,34
2021-11,33
2021-12,40
2022-01,40
2022-02,48
2022-03,54
2022-04,43
2022-05,69
