Category: All categories

Month,goog: (United States)
2004-01,4
2004-02,3
2004-03,4
2004-04,4
2004-05,5
2004-06,5
2004-07,6
2004-08,34
2004-09,20
2004-10,24
2004-11,25
2004-12,19
2005-01,17
2005-02,22
2005-03,17
2005-04,30
2005-05,37
2005-06,52
2005-07,50
2005-08,36
2005-09,36
2005-10,54
2005-11,70
2005-12,65
2006-01,95
2006-02,100
2006-03,77
2006-04,63
2006-05,56
2006-06,45
2006-07,46
2006-08,40
2006-09,40
2006-10,60
2006-11,55
2006-12,46
2007-01,46
2007-02,51
2007-03,44
2007-04,47
2007-05,41
2007-06,46
2007-07,52
2007-08,41
2007-09,41
2007-10,64
2007-11,73
2007-12,51
2008-01,53
2008-02,59
2008-03,54
2008-04,57
2008-05,48
2008-06,42
2008-07,45
2008-08,37
2008-09,47
2008-10,57
2008-11,44
2008-12,36
2009-01,38
2009-02,41
2009-03,39
2009-04,41
2009-05,38
2009-06,35
2009-07,35
2009-08,31
2009-09,33
2009-10,39
2009-11,39
2009-12,40
2010-01,44
2010-02,41
2010-03,41
2010-04,43
2010-05,45
2010-06,40
2010-07,41
2010-08,37
2010-09,40
2010-10,51
2010-11,44
2010-12,44
2011-01,62
2011-02,61
2011-03,59
2011-04,63
2011-05,59
2011-06,59
2011-07,68
2011-08,70
2011-09,65
2011-10,72
2011-11,70
2011-12,70
2012-01,76
2012-02,70
2012-03,71
2012-04,74
2012-05,74
2012-06,68
2012-07,63
2012-08,64
2012-09,67
2012-10,78
2012-11,69
2012-12,70
2013-01,72
2013-02,73
2013-03,66
2013-04,68
2013-05,69
2013-06,61
2013-07,64
2013-08,60
2013-09,66
2013-10,91
2013-11,78
2013-12,75
2014-01,79
2014-02,84
2014-03,81
2014-04,89
2014-05,84
2014-06,70
2014-07,63
2014-08,59
2014-09,57
2014-10,58
2014-11,53
2014-12,50
2015-01,49
2015-02,49
2015-03,47
2015-04,48
2015-05,45
2015-06,38
2015-07,44
2015-08,47
2015-09,44
2015-10,46
2015-11,42
2015-12,38
2016-01,38
2016-02,44
2016-03,37
2016-04,38
2016-05,35
2016-06,33
2016-07,32
2016-08,30
2016-09,30
2016-10,32
2016-11,34
2016-12,27
2017-01,30
2017-02,28
2017-03,28
2017-04,29
2017-05,31
2017-06,27
2017-07,27
2017-08,25
2017-09,24
2017-10,30
2017-11,27
2017-12,26
2018-01,28
2018-02,33
2018-03,27
2018-04,31
2018-05,26
2018-06,21
2018-07,28
2018-08,25
2018-09,25
2018-10,32
2018-11,26
2018-12,25
2019-01,25
2019-02,28
2019-03,24
2019-04,26
2019-05,26
2019-06,23
2019-07,22
2019-08,20
2019-09,20
2019-10,23
2019-11,18
2019-12,17
2020-01,22
2020-02,26
2020-03,31
2020-04,28
2020-05,21
2020-06,20
2020-07,22
2020-08,22
2020-09,23
2020-10,20
2020-11,16
2020-12,15
2021-01,16
2021-02,21
2021-03,16
2021-04,20
2021-05,15
2021-06,16
2021-07,19
2021-08,17
2021-09,17
2021-10,24
2021-11,24
2021-12,25
2022-01,27
2022-02,41
2022-03,32
2022-04,34
2022-05,32
