Category: All categories

Month,nasdaq futures: (United States)
2004-01,5
2004-02,9
2004-03,10
2004-04,5
2004-05,5
2004-06,11
2004-07,4
2004-08,5
2004-09,10
2004-10,6
2004-11,10
2004-12,6
2005-01,7
2005-02,4
2005-03,5
2005-04,5
2005-05,4
2005-06,4
2005-07,7
2005-08,2
2005-09,5
2005-10,7
2005-11,2
2005-12,2
2006-01,4
2006-02,6
2006-03,3
2006-04,4
2006-05,5
2006-06,6
2006-07,5
2006-08,4
2006-09,3
2006-10,3
2006-11,3
2006-12,1
2007-01,2
2007-02,2
2007-03,5
2007-04,2
2007-05,2
2007-06,3
2007-07,5
2007-08,6
2007-09,4
2007-10,3
2007-11,8
2007-12,5
2008-01,11
2008-02,5
2008-03,6
2008-04,3
2008-05,5
2008-06,3
2008-07,6
2008-08,3
2008-09,9
2008-10,14
2008-11,12
2008-12,6
2009-01,4
2009-02,5
2009-03,6
2009-04,6
2009-05,5
2009-06,6
2009-07,4
2009-08,3
2009-09,3
2009-10,3
2009-11,3
2009-12,3
2010-01,3
2010-02,3
2010-03,3
2010-04,3
2010-05,6
2010-06,4
2010-07,3
2010-08,4
2010-09,3
2010-10,3
2010-11,5
2010-12,2
2011-01,4
2011-02,4
2011-03,4
2011-04,3
2011-05,3
2011-06,4
2011-07,4
2011-08,6
2011-09,5
2011-10,5
2011-11,4
2011-12,3
2012-01,3
2012-02,3
2012-03,3
2012-04,2
2012-05,2
2012-06,3
2012-07,2
2012-08,3
2012-09,4
2012-10,3
2012-11,2
2012-12,3
2013-01,4
2013-02,3
2013-03,2
2013-04,3
2013-05,2
2013-06,3
2013-07,2
2013-08,2
2013-09,2
2013-10,3
2013-11,3
2013-12,2
2014-01,3
2014-02,3
2014-03,3
2014-04,4
2014-05,4
2014-06,4
2014-07,5
2014-08,3
2014-09,3
2014-10,5
2014-11,3
2014-12,4
2015-01,4
2015-02,4
2015-03,4
2015-04,4
2015-05,4
2015-06,4
2015-07,6
2015-08,7
2015-09,8
2015-10,6
2015-11,4
2015-12,4
2016-01,8
2016-02,6
2016-03,6
2016-04,4
2016-05,5
2016-06,8
2016-07,6
2016-08,4
2016-09,4
2016-10,4
2016-11,9
2016-12,4
2017-01,5
2017-02,5
2017-03,5
2017-04,4
2017-05,6
2017-06,7
2017-07,7
2017-08,9
2017-09,7
2017-10,6
2017-11,6
2017-12,9
2018-01,9
2018-02,14
2018-03,12
2018-04,16
2018-05,11
2018-06,13
2018-07,14
2018-08,11
2018-09,11
2018-10,19
2018-11,18
2018-12,21
2019-01,18
2019-02,11
2019-03,11
2019-04,10
2019-05,14
2019-06,14
2019-07,12
2019-08,17
2019-09,14
2019-10,10
2019-11,8
2019-12,9
2020-01,14
2020-02,22
2020-03,54
2020-04,33
2020-05,27
2020-06,33
2020-07,33
2020-08,30
2020-09,57
2020-10,47
2020-11,57
2020-12,38
2021-01,40
2021-02,49
2021-03,100
2021-04,55
2021-05,54
2021-06,41
2021-07,40
2021-08,32
2021-09,30
2021-10,30
2021-11,29
2021-12,40
2022-01,53
2022-02,65
2022-03,47
2022-04,42
2022-05,61
