Category: All categories

Month,nasdaq index: (United States)
2004-01,11
2004-02,7
2004-03,6
2004-04,5
2004-05,7
2004-06,4
2004-07,6
2004-08,5
2004-09,4
2004-10,3
2004-11,8
2004-12,5
2005-01,6
2005-02,3
2005-03,5
2005-04,4
2005-05,3
2005-06,2
2005-07,5
2005-08,3
2005-09,3
2005-10,3
2005-11,4
2005-12,3
2006-01,5
2006-02,4
2006-03,4
2006-04,3
2006-05,6
2006-06,3
2006-07,2
2006-08,2
2006-09,4
2006-10,4
2006-11,4
2006-12,3
2007-01,4
2007-02,4
2007-03,4
2007-04,3
2007-05,2
2007-06,2
2007-07,5
2007-08,3
2007-09,4
2007-10,5
2007-11,4
2007-12,5
2008-01,6
2008-02,3
2008-03,3
2008-04,4
2008-05,2
2008-06,3
2008-07,4
2008-08,2
2008-09,4
2008-10,7
2008-11,4
2008-12,4
2009-01,5
2009-02,4
2009-03,5
2009-04,4
2009-05,3
2009-06,3
2009-07,3
2009-08,3
2009-09,3
2009-10,3
2009-11,2
2009-12,2
2010-01,3
2010-02,3
2010-03,3
2010-04,3
2010-05,3
2010-06,2
2010-07,2
2010-08,1
2010-09,3
2010-10,2
2010-11,2
2010-12,2
2011-01,3
2011-02,3
2011-03,2
2011-04,3
2011-05,2
2011-06,2
2011-07,2
2011-08,3
2011-09,2
2011-10,2
2011-11,2
2011-12,2
2012-01,2
2012-02,3
2012-03,2
2012-04,2
2012-05,2
2012-06,2
2012-07,2
2012-08,2
2012-09,2
2012-10,2
2012-11,2
2012-12,2
2013-01,2
2013-02,2
2013-03,2
2013-04,2
2013-05,2
2013-06,2
2013-07,2
2013-08,2
2013-09,3
2013-10,4
2013-11,3
2013-12,3
2014-01,4
2014-02,4
2014-03,4
2014-04,4
2014-05,3
2014-06,3
2014-07,3
2014-08,3
2014-09,3
2014-10,5
2014-11,4
2014-12,4
2015-01,5
2015-02,5
2015-03,5
2015-04,6
2015-05,4
2015-06,5
2015-07,8
2015-08,11
2015-09,10
2015-10,6
2015-11,5
2015-12,6
2016-01,8
2016-02,8
2016-03,6
2016-04,5
2016-05,4
2016-06,8
2016-07,5
2016-08,5
2016-09,4
2016-10,4
2016-11,9
2016-12,9
2017-01,11
2017-02,12
2017-03,12
2017-04,11
2017-05,13
2017-06,18
2017-07,15
2017-08,18
2017-09,15
2017-10,16
2017-11,17
2017-12,18
2018-01,23
2018-02,29
2018-03,23
2018-04,22
2018-05,18
2018-06,18
2018-07,17
2018-08,19
2018-09,17
2018-10,30
2018-11,23
2018-12,24
2019-01,21
2019-02,17
2019-03,16
2019-04,17
2019-05,19
2019-06,17
2019-07,18
2019-08,18
2019-09,14
2019-10,13
2019-11,12
2019-12,13
2020-01,15
2020-02,19
2020-03,32
2020-04,22
2020-05,24
2020-06,33
2020-07,31
2020-08,26
2020-09,34
2020-10,25
2020-11,24
2020-12,24
2021-01,28
2021-02,31
2021-03,47
2021-04,32
2021-05,31
2021-06,29
2021-07,29
2021-08,29
2021-09,28
2021-10,26
2021-11,38
2021-12,49
2022-01,64
2022-02,65
2022-03,62
2022-04,61
2022-05,100
