Category: All categories

Month,s and p 500: (United States)
2004-01,1
2004-02,3
2004-03,1
2004-04,2
2004-05,1
2004-06,2
2004-07,1
2004-08,1
2004-09,2
2004-10,1
2004-11,1
2004-12,1
2005-01,1
2005-02,1
2005-03,1
2005-04,1
2005-05,1
2005-06,1
2005-07,1
2005-08,1
2005-09,1
2005-10,1
2005-11,1
2005-12,1
2006-01,2
2006-02,2
2006-03,2
2006-04,1
2006-05,1
2006-06,1
2006-07,1
2006-08,1
2006-09,1
2006-10,2
2006-11,2
2006-12,1
2007-01,2
2007-02,2
2007-03,2
2007-04,1
2007-05,1
2007-06,1
2007-07,2
2007-08,2
2007-09,1
2007-10,2
2007-11,2
2007-12,2
2008-01,2
2008-02,2
2008-03,1
2008-04,2
2008-05,2
2008-06,1
2008-07,2
2008-08,1
2008-09,3
2008-10,4
2008-11,3
2008-12,3
2009-01,2
2009-02,2
2009-03,3
2009-04,2
2009-05,2
2009-06,2
2009-07,2
2009-08,2
2009-09,2
2009-10,2
2009-11,2
2009-12,1
2010-01,2
2010-02,2
2010-03,1
2010-04,2
2010-05,2
2010-06,2
2010-07,2
2010-08,1
2010-09,1
2010-10,1
2010-11,1
2010-12,1
2011-01,2
2011-02,2
2011-03,2
2011-04,2
2011-05,1
2011-06,2
2011-07,2
2011-08,4
2011-09,2
2011-10,3
2011-11,2
2011-12,2
2012-01,2
2012-02,2
2012-03,2
2012-04,2
2012-05,2
2012-06,2
2012-07,2
2012-08,2
2012-09,2
2012-10,2
2012-11,2
2012-12,2
2013-01,3
2013-02,3
2013-03,3
2013-04,3
2013-05,4
2013-06,4
2013-07,3
2013-08,3
2013-09,3
2013-10,4
2013-11,4
2013-12,3
2014-01,4
2014-02,4
2014-03,4
2014-04,5
2014-05,3
2014-06,4
2014-07,4
2014-08,5
2014-09,4
2014-10,6
2014-11,5
2014-12,6
2015-01,6
2015-02,7
2015-03,6
2015-04,7
2015-05,6
2015-06,7
2015-07,7
2015-08,9
2015-09,10
2015-10,8
2015-11,7
2015-12,8
2016-01,15
2016-02,12
2016-03,11
2016-04,10
2016-05,9
2016-06,13
2016-07,11
2016-08,9
2016-09,9
2016-10,8
2016-11,12
2016-12,11
2017-01,11
2017-02,11
2017-03,12
2017-04,11
2017-05,11
2017-06,12
2017-07,11
2017-08,12
2017-09,11
2017-10,11
2017-11,12
2017-12,13
2018-01,17
2018-02,28
2018-03,21
2018-04,20
2018-05,16
2018-06,17
2018-07,16
2018-08,17
2018-09,14
2018-10,24
2018-11,20
2018-12,27
2019-01,24
2019-02,20
2019-03,20
2019-04,22
2019-05,24
2019-06,22
2019-07,22
2019-08,28
2019-09,20
2019-10,22
2019-11,20
2019-12,21
2020-01,24
2020-02,33
2020-03,100
2020-04,59
2020-05,36
2020-06,46
2020-07,36
2020-08,31
2020-09,35
2020-10,32
2020-11,32
2020-12,30
2021-01,30
2021-02,34
2021-03,33
2021-04,31
2021-05,29
2021-06,30
2021-07,29
2021-08,29
2021-09,30
2021-10,29
2021-11,30
2021-12,36
2022-01,38
2022-02,40
2022-03,39
2022-04,34
2022-05,55
