Category: All categories

Month,s&p 500 index: (United States)
2004-01,21
2004-02,19
2004-03,21
2004-04,25
2004-05,16
2004-06,15
2004-07,23
2004-08,19
2004-09,14
2004-10,17
2004-11,21
2004-12,20
2005-01,23
2005-02,23
2005-03,21
2005-04,18
2005-05,18
2005-06,19
2005-07,16
2005-08,13
2005-09,14
2005-10,14
2005-11,16
2005-12,20
2006-01,23
2006-02,16
2006-03,14
2006-04,14
2006-05,14
2006-06,14
2006-07,15
2006-08,13
2006-09,14
2006-10,13
2006-11,16
2006-12,13
2007-01,19
2007-02,16
2007-03,13
2007-04,13
2007-05,13
2007-06,13
2007-07,13
2007-08,14
2007-09,13
2007-10,13
2007-11,14
2007-12,13
2008-01,20
2008-02,13
2008-03,14
2008-04,14
2008-05,10
2008-06,14
2008-07,14
2008-08,12
2008-09,15
2008-10,30
2008-11,21
2008-12,20
2009-01,24
2009-02,22
2009-03,27
2009-04,18
2009-05,19
2009-06,16
2009-07,19
2009-08,18
2009-09,21
2009-10,20
2009-11,16
2009-12,16
2010-01,17
2010-02,15
2010-03,13
2010-04,14
2010-05,14
2010-06,10
2010-07,11
2010-08,9
2010-09,11
2010-10,12
2010-11,9
2010-12,9
2011-01,11
2011-02,11
2011-03,11
2011-04,10
2011-05,9
2011-06,11
2011-07,11
2011-08,18
2011-09,12
2011-10,14
2011-11,11
2011-12,11
2012-01,14
2012-02,12
2012-03,13
2012-04,14
2012-05,12
2012-06,12
2012-07,11
2012-08,12
2012-09,11
2012-10,12
2012-11,12
2012-12,11
2013-01,17
2013-02,13
2013-03,13
2013-04,14
2013-05,14
2013-06,14
2013-07,15
2013-08,14
2013-09,14
2013-10,18
2013-11,15
2013-12,15
2014-01,19
2014-02,21
2014-03,23
2014-04,20
2014-05,18
2014-06,18
2014-07,19
2014-08,21
2014-09,21
2014-10,27
2014-11,21
2014-12,25
2015-01,27
2015-02,24
2015-03,24
2015-04,23
2015-05,19
2015-06,20
2015-07,25
2015-08,31
2015-09,24
2015-10,21
2015-11,20
2015-12,21
2016-01,30
2016-02,25
2016-03,23
2016-04,22
2016-05,21
2016-06,26
2016-07,25
2016-08,23
2016-09,19
2016-10,18
2016-11,29
2016-12,28
2017-01,28
2017-02,33
2017-03,36
2017-04,29
2017-05,32
2017-06,34
2017-07,33
2017-08,39
2017-09,32
2017-10,37
2017-11,36
2017-12,38
2018-01,50
2018-02,69
2018-03,42
2018-04,44
2018-05,37
2018-06,34
2018-07,37
2018-08,33
2018-09,30
2018-10,44
2018-11,36
2018-12,40
2019-01,38
2019-02,33
2019-03,33
2019-04,38
2019-05,40
2019-06,39
2019-07,38
2019-08,40
2019-09,34
2019-10,35
2019-11,33
2019-12,37
2020-01,42
2020-02,52
2020-03,93
2020-04,61
2020-05,52
2020-06,59
2020-07,52
2020-08,49
2020-09,54
2020-10,49
2020-11,49
2020-12,46
2021-01,45
2021-02,50
2021-03,52
2021-04,50
2021-05,46
2021-06,46
2021-07,49
2021-08,49
2021-09,47
2021-10,45
2021-11,54
2021-12,62
2022-01,72
2022-02,67
2022-03,68
2022-04,62
2022-05,100
