Category: All categories

Month,s&p 500 today: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,1
2005-03,0
2005-04,1
2005-05,1
2005-06,0
2005-07,1
2005-08,1
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,1
2006-05,0
2006-06,0
2006-07,1
2006-08,0
2006-09,1
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,1
2007-03,1
2007-04,0
2007-05,0
2007-06,<1
2007-07,<1
2007-08,<1
2007-09,<1
2007-10,1
2007-11,0
2007-12,0
2008-01,0
2008-02,<1
2008-03,1
2008-04,<1
2008-05,<1
2008-06,1
2008-07,0
2008-08,0
2008-09,<1
2008-10,1
2008-11,1
2008-12,1
2009-01,1
2009-02,1
2009-03,2
2009-04,<1
2009-05,1
2009-06,1
2009-07,1
2009-08,1
2009-09,0
2009-10,1
2009-11,<1
2009-12,<1
2010-01,2
2010-02,2
2010-03,1
2010-04,1
2010-05,2
2010-06,2
2010-07,1
2010-08,1
2010-09,1
2010-10,1
2010-11,<1
2010-12,1
2011-01,1
2011-02,1
2011-03,1
2011-04,1
2011-05,<1
2011-06,<1
2011-07,1
2011-08,3
2011-09,1
2011-10,1
2011-11,1
2011-12,1
2012-01,1
2012-02,2
2012-03,<1
2012-04,1
2012-05,1
2012-06,<1
2012-07,<1
2012-08,1
2012-09,1
2012-10,1
2012-11,1
2012-12,1
2013-01,1
2013-02,1
2013-03,1
2013-04,2
2013-05,1
2013-06,1
2013-07,2
2013-08,1
2013-09,1
2013-10,2
2013-11,2
2013-12,2
2014-01,1
2014-02,2
2014-03,2
2014-04,2
2014-05,2
2014-06,2
2014-07,2
2014-08,3
2014-09,2
2014-10,3
2014-11,3
2014-12,2
2015-01,3
2015-02,3
2015-03,4
2015-04,3
2015-05,3
2015-06,3
2015-07,4
2015-08,7
2015-09,6
2015-10,5
2015-11,4
2015-12,3
2016-01,7
2016-02,5
2016-03,5
2016-04,5
2016-05,3
2016-06,5
2016-07,4
2016-08,3
2016-09,4
2016-10,3
2016-11,5
2016-12,5
2017-01,6
2017-02,7
2017-03,9
2017-04,6
2017-05,8
2017-06,10
2017-07,9
2017-08,11
2017-09,8
2017-10,8
2017-11,10
2017-12,12
2018-01,18
2018-02,24
2018-03,18
2018-04,19
2018-05,15
2018-06,16
2018-07,16
2018-08,22
2018-09,19
2018-10,24
2018-11,20
2018-12,27
2019-01,25
2019-02,23
2019-03,21
2019-04,24
2019-05,23
2019-06,23
2019-07,22
2019-08,27
2019-09,22
2019-10,24
2019-11,22
2019-12,25
2020-01,25
2020-02,34
2020-03,88
2020-04,54
2020-05,36
2020-06,51
2020-07,43
2020-08,39
2020-09,50
2020-10,48
2020-11,50
2020-12,52
2021-01,52
2021-02,62
2021-03,71
2021-04,70
2021-05,65
2021-06,70
2021-07,68
2021-08,74
2021-09,70
2021-10,72
2021-11,64
2021-12,64
2022-01,66
2022-02,79
2022-03,84
2022-04,73
2022-05,100
