Category: All categories

Month,s&p futures: (United States)
2004-01,4
2004-02,3
2004-03,4
2004-04,2
2004-05,2
2004-06,4
2004-07,2
2004-08,3
2004-09,2
2004-10,3
2004-11,2
2004-12,3
2005-01,2
2005-02,3
2005-03,2
2005-04,2
2005-05,3
2005-06,2
2005-07,2
2005-08,2
2005-09,3
2005-10,2
2005-11,2
2005-12,2
2006-01,2
2006-02,1
2006-03,2
2006-04,1
2006-05,2
2006-06,2
2006-07,2
2006-08,2
2006-09,2
2006-10,2
2006-11,1
2006-12,2
2007-01,2
2007-02,1
2007-03,2
2007-04,2
2007-05,1
2007-06,2
2007-07,2
2007-08,4
2007-09,3
2007-10,2
2007-11,3
2007-12,3
2008-01,6
2008-02,3
2008-03,4
2008-04,2
2008-05,2
2008-06,2
2008-07,4
2008-08,2
2008-09,5
2008-10,10
2008-11,6
2008-12,5
2009-01,4
2009-02,5
2009-03,7
2009-04,4
2009-05,5
2009-06,4
2009-07,4
2009-08,4
2009-09,4
2009-10,4
2009-11,4
2009-12,3
2010-01,3
2010-02,3
2010-03,3
2010-04,3
2010-05,7
2010-06,4
2010-07,4
2010-08,4
2010-09,3
2010-10,3
2010-11,3
2010-12,3
2011-01,3
2011-02,3
2011-03,4
2011-04,4
2011-05,3
2011-06,3
2011-07,4
2011-08,10
2011-09,6
2011-10,5
2011-11,6
2011-12,4
2012-01,3
2012-02,3
2012-03,3
2012-04,4
2012-05,4
2012-06,4
2012-07,3
2012-08,2
2012-09,3
2012-10,3
2012-11,3
2012-12,4
2013-01,4
2013-02,2
2013-03,3
2013-04,3
2013-05,3
2013-06,3
2013-07,3
2013-08,3
2013-09,3
2013-10,5
2013-11,3
2013-12,3
2014-01,3
2014-02,3
2014-03,4
2014-04,4
2014-05,3
2014-06,2
2014-07,3
2014-08,3
2014-09,3
2014-10,5
2014-11,3
2014-12,4
2015-01,4
2015-02,3
2015-03,3
2015-04,4
2015-05,3
2015-06,4
2015-07,6
2015-08,8
2015-09,8
2015-10,5
2015-11,4
2015-12,4
2016-01,10
2016-02,9
2016-03,6
2016-04,6
2016-05,5
2016-06,9
2016-07,7
2016-08,5
2016-09,5
2016-10,5
2016-11,12
2016-12,5
2017-01,6
2017-02,5
2017-03,6
2017-04,6
2017-05,6
2017-06,6
2017-07,5
2017-08,6
2017-09,5
2017-10,5
2017-11,5
2017-12,6
2018-01,8
2018-02,15
2018-03,11
2018-04,12
2018-05,8
2018-06,8
2018-07,8
2018-08,8
2018-09,7
2018-10,12
2018-11,11
2018-12,17
2019-01,13
2019-02,9
2019-03,9
2019-04,8
2019-05,13
2019-06,11
2019-07,9
2019-08,16
2019-09,12
2019-10,11
2019-11,9
2019-12,10
2020-01,13
2020-02,22
2020-03,100
2020-04,48
2020-05,31
2020-06,36
2020-07,24
2020-08,17
2020-09,20
2020-10,19
2020-11,23
2020-12,18
2021-01,18
2021-02,19
2021-03,18
2021-04,14
2021-05,14
2021-06,12
2021-07,12
2021-08,11
2021-09,13
2021-10,12
2021-11,12
2021-12,16
2022-01,16
2022-02,21
2022-03,17
2022-04,12
2022-05,20
