Category: All categories

Month,share market today: (United States)
2004-01,13
2004-02,0
2004-03,16
2004-04,12
2004-05,11
2004-06,0
2004-07,0
2004-08,0
2004-09,10
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,7
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,6
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,15
2006-05,0
2006-06,0
2006-07,10
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,7
2007-04,4
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,3
2007-11,3
2007-12,0
2008-01,3
2008-02,5
2008-03,0
2008-04,5
2008-05,5
2008-06,5
2008-07,3
2008-08,0
2008-09,5
2008-10,7
2008-11,14
2008-12,2
2009-01,9
2009-02,0
2009-03,8
2009-04,4
2009-05,9
2009-06,9
2009-07,4
2009-08,2
2009-09,6
2009-10,0
2009-11,6
2009-12,8
2010-01,6
2010-02,2
2010-03,10
2010-04,8
2010-05,9
2010-06,11
2010-07,8
2010-08,10
2010-09,11
2010-10,4
2010-11,11
2010-12,5
2011-01,7
2011-02,8
2011-03,8
2011-04,6
2011-05,2
2011-06,10
2011-07,5
2011-08,12
2011-09,6
2011-10,6
2011-11,7
2011-12,5
2012-01,8
2012-02,8
2012-03,8
2012-04,5
2012-05,7
2012-06,7
2012-07,5
2012-08,5
2012-09,6
2012-10,8
2012-11,8
2012-12,8
2013-01,9
2013-02,10
2013-03,7
2013-04,7
2013-05,3
2013-06,6
2013-07,2
2013-08,7
2013-09,2
2013-10,11
2013-11,7
2013-12,5
2014-01,3
2014-02,6
2014-03,12
2014-04,8
2014-05,9
2014-06,15
2014-07,8
2014-08,7
2014-09,9
2014-10,7
2014-11,6
2014-12,11
2015-01,14
2015-02,12
2015-03,16
2015-04,11
2015-05,7
2015-06,10
2015-07,6
2015-08,16
2015-09,6
2015-10,9
2015-11,16
2015-12,10
2016-01,9
2016-02,12
2016-03,15
2016-04,16
2016-05,10
2016-06,14
2016-07,9
2016-08,4
2016-09,14
2016-10,10
2016-11,18
2016-12,12
2017-01,7
2017-02,15
2017-03,16
2017-04,19
2017-05,14
2017-06,17
2017-07,12
2017-08,13
2017-09,14
2017-10,20
2017-11,20
2017-12,20
2018-01,12
2018-02,27
2018-03,27
2018-04,16
2018-05,13
2018-06,19
2018-07,12
2018-08,10
2018-09,18
2018-10,26
2018-11,22
2018-12,15
2019-01,14
2019-02,19
2019-03,17
2019-04,20
2019-05,22
2019-06,17
2019-07,10
2019-08,17
2019-09,14
2019-10,23
2019-11,24
2019-12,15
2020-01,19
2020-02,29
2020-03,100
2020-04,55
2020-05,40
2020-06,38
2020-07,30
2020-08,22
2020-09,31
2020-10,34
2020-11,37
2020-12,29
2021-01,37
2021-02,35
2021-03,48
2021-04,42
2021-05,36
2021-06,28
2021-07,32
2021-08,23
2021-09,32
2021-10,36
2021-11,41
2021-12,37
2022-01,42
2022-02,47
2022-03,42
2022-04,50
2022-05,65
