Category: All categories

Month,share market: (United States)
2004-01,65
2004-02,90
2004-03,90
2004-04,94
2004-05,80
2004-06,76
2004-07,76
2004-08,66
2004-09,78
2004-10,86
2004-11,100
2004-12,70
2005-01,67
2005-02,80
2005-03,77
2005-04,95
2005-05,69
2005-06,71
2005-07,55
2005-08,63
2005-09,69
2005-10,72
2005-11,70
2005-12,58
2006-01,55
2006-02,60
2006-03,65
2006-04,74
2006-05,61
2006-06,48
2006-07,49
2006-08,48
2006-09,57
2006-10,61
2006-11,56
2006-12,48
2007-01,44
2007-02,56
2007-03,55
2007-04,57
2007-05,46
2007-06,49
2007-07,48
2007-08,48
2007-09,49
2007-10,56
2007-11,58
2007-12,48
2008-01,47
2008-02,52
2008-03,48
2008-04,62
2008-05,44
2008-06,46
2008-07,46
2008-08,35
2008-09,48
2008-10,58
2008-11,51
2008-12,46
2009-01,42
2009-02,50
2009-03,53
2009-04,59
2009-05,46
2009-06,45
2009-07,53
2009-08,39
2009-09,51
2009-10,61
2009-11,59
2009-12,47
2010-01,42
2010-02,54
2010-03,53
2010-04,60
2010-05,59
2010-06,50
2010-07,43
2010-08,43
2010-09,47
2010-10,49
2010-11,48
2010-12,43
2011-01,42
2011-02,48
2011-03,49
2011-04,54
2011-05,41
2011-06,42
2011-07,40
2011-08,42
2011-09,42
2011-10,52
2011-11,50
2011-12,41
2012-01,40
2012-02,48
2012-03,43
2012-04,51
2012-05,41
2012-06,36
2012-07,33
2012-08,33
2012-09,42
2012-10,45
2012-11,43
2012-12,35
2013-01,35
2013-02,42
2013-03,40
2013-04,45
2013-05,36
2013-06,31
2013-07,31
2013-08,31
2013-09,40
2013-10,45
2013-11,43
2013-12,35
2014-01,33
2014-02,41
2014-03,38
2014-04,42
2014-05,35
2014-06,34
2014-07,31
2014-08,29
2014-09,45
2014-10,41
2014-11,41
2014-12,34
2015-01,36
2015-02,41
2015-03,40
2015-04,45
2015-05,33
2015-06,35
2015-07,32
2015-08,31
2015-09,41
2015-10,41
2015-11,39
2015-12,32
2016-01,30
2016-02,41
2016-03,37
2016-04,42
2016-05,32
2016-06,31
2016-07,26
2016-08,25
2016-09,35
2016-10,37
2016-11,39
2016-12,31
2017-01,29
2017-02,41
2017-03,41
2017-04,43
2017-05,35
2017-06,31
2017-07,30
2017-08,29
2017-09,38
2017-10,40
2017-11,41
2017-12,32
2018-01,32
2018-02,41
2018-03,36
2018-04,41
2018-05,31
2018-06,28
2018-07,27
2018-08,29
2018-09,37
2018-10,39
2018-11,38
2018-12,30
2019-01,29
2019-02,36
2019-03,34
2019-04,39
2019-05,29
2019-06,26
2019-07,26
2019-08,25
2019-09,35
2019-10,36
2019-11,35
2019-12,29
2020-01,29
2020-02,39
2020-03,41
2020-04,41
2020-05,36
2020-06,37
2020-07,35
2020-08,33
2020-09,42
2020-10,43
2020-11,37
2020-12,34
2021-01,32
2021-02,41
2021-03,39
2021-04,42
2021-05,34
2021-06,26
2021-07,24
2021-08,24
2021-09,32
2021-10,36
2021-11,37
2021-12,30
2022-01,28
2022-02,36
2022-03,32
2022-04,36
2022-05,34
