Category: All categories

Month,stock market stocks: (United States)
2004-01,13
2004-02,15
2004-03,11
2004-04,12
2004-05,10
2004-06,8
2004-07,7
2004-08,12
2004-09,12
2004-10,14
2004-11,14
2004-12,12
2005-01,14
2005-02,17
2005-03,14
2005-04,11
2005-05,9
2005-06,9
2005-07,8
2005-08,11
2005-09,13
2005-10,14
2005-11,14
2005-12,10
2006-01,13
2006-02,14
2006-03,15
2006-04,14
2006-05,12
2006-06,8
2006-07,7
2006-08,10
2006-09,12
2006-10,14
2006-11,9
2006-12,10
2007-01,13
2007-02,16
2007-03,13
2007-04,14
2007-05,11
2007-06,9
2007-07,12
2007-08,14
2007-09,12
2007-10,16
2007-11,15
2007-12,13
2008-01,17
2008-02,14
2008-03,15
2008-04,15
2008-05,11
2008-06,9
2008-07,11
2008-08,9
2008-09,22
2008-10,34
2008-11,20
2008-12,13
2009-01,14
2009-02,15
2009-03,19
2009-04,13
2009-05,13
2009-06,11
2009-07,8
2009-08,11
2009-09,14
2009-10,15
2009-11,12
2009-12,11
2010-01,14
2010-02,13
2010-03,15
2010-04,14
2010-05,15
2010-06,9
2010-07,8
2010-08,8
2010-09,12
2010-10,14
2010-11,13
2010-12,11
2011-01,17
2011-02,18
2011-03,19
2011-04,15
2011-05,11
2011-06,10
2011-07,11
2011-08,20
2011-09,12
2011-10,15
2011-11,13
2011-12,12
2012-01,13
2012-02,16
2012-03,13
2012-04,11
2012-05,11
2012-06,7
2012-07,7
2012-08,7
2012-09,11
2012-10,11
2012-11,13
2012-12,9
2013-01,12
2013-02,14
2013-03,14
2013-04,12
2013-05,12
2013-06,9
2013-07,9
2013-08,9
2013-09,14
2013-10,17
2013-11,16
2013-12,14
2014-01,16
2014-02,19
2014-03,17
2014-04,14
2014-05,12
2014-06,10
2014-07,9
2014-08,9
2014-09,13
2014-10,17
2014-11,14
2014-12,16
2015-01,16
2015-02,18
2015-03,16
2015-04,17
2015-05,13
2015-06,11
2015-07,11
2015-08,22
2015-09,17
2015-10,17
2015-11,15
2015-12,13
2016-01,19
2016-02,18
2016-03,15
2016-04,14
2016-05,12
2016-06,12
2016-07,10
2016-08,8
2016-09,11
2016-10,12
2016-11,21
2016-12,14
2017-01,16
2017-02,19
2017-03,19
2017-04,17
2017-05,15
2017-06,12
2017-07,11
2017-08,12
2017-09,12
2017-10,17
2017-11,18
2017-12,20
2018-01,22
2018-02,29
2018-03,19
2018-04,18
2018-05,12
2018-06,12
2018-07,12
2018-08,13
2018-09,17
2018-10,24
2018-11,18
2018-12,22
2019-01,17
2019-02,18
2019-03,16
2019-04,15
2019-05,15
2019-06,11
2019-07,11
2019-08,15
2019-09,13
2019-10,15
2019-11,14
2019-12,14
2020-01,20
2020-02,32
2020-03,100
2020-04,47
2020-05,33
2020-06,36
2020-07,27
2020-08,22
2020-09,25
2020-10,21
2020-11,24
2020-12,25
2021-01,50
2021-02,48
2021-03,28
2021-04,23
2021-05,22
2021-06,17
2021-07,13
2021-08,13
2021-09,17
2021-10,18
2021-11,22
2021-12,22
2022-01,25
2022-02,21
2022-03,17
2022-04,19
2022-05,22
