Category: All categories

Month,stock market: (United States)
2004-01,10
2004-02,11
2004-03,10
2004-04,10
2004-05,8
2004-06,7
2004-07,7
2004-08,7
2004-09,7
2004-10,9
2004-11,11
2004-12,9
2005-01,9
2005-02,10
2005-03,10
2005-04,9
2005-05,8
2005-06,7
2005-07,7
2005-08,7
2005-09,7
2005-10,8
2005-11,9
2005-12,8
2006-01,10
2006-02,10
2006-03,9
2006-04,9
2006-05,9
2006-06,8
2006-07,6
2006-08,6
2006-09,7
2006-10,9
2006-11,8
2006-12,8
2007-01,8
2007-02,11
2007-03,11
2007-04,9
2007-05,8
2007-06,7
2007-07,9
2007-08,11
2007-09,8
2007-10,10
2007-11,10
2007-12,9
2008-01,15
2008-02,9
2008-03,11
2008-04,9
2008-05,7
2008-06,7
2008-07,8
2008-08,6
2008-09,25
2008-10,43
2008-11,21
2008-12,13
2009-01,11
2009-02,13
2009-03,20
2009-04,12
2009-05,9
2009-06,8
2009-07,7
2009-08,7
2009-09,8
2009-10,9
2009-11,8
2009-12,7
2010-01,8
2010-02,8
2010-03,9
2010-04,9
2010-05,13
2010-06,7
2010-07,6
2010-08,5
2010-09,6
2010-10,8
2010-11,8
2010-12,8
2011-01,10
2011-02,11
2011-03,11
2011-04,9
2011-05,7
2011-06,7
2011-07,7
2011-08,22
2011-09,10
2011-10,11
2011-11,10
2011-12,9
2012-01,9
2012-02,10
2012-03,9
2012-04,8
2012-05,9
2012-06,7
2012-07,6
2012-08,5
2012-09,7
2012-10,9
2012-11,11
2012-12,7
2013-01,9
2013-02,9
2013-03,9
2013-04,9
2013-05,8
2013-06,8
2013-07,7
2013-08,7
2013-09,10
2013-10,12
2013-11,10
2013-12,9
2014-01,11
2014-02,11
2014-03,10
2014-04,11
2014-05,8
2014-06,7
2014-07,8
2014-08,7
2014-09,8
2014-10,14
2014-11,10
2014-12,12
2015-01,12
2015-02,11
2015-03,11
2015-04,11
2015-05,9
2015-06,9
2015-07,15
2015-08,26
2015-09,17
2015-10,13
2015-11,11
2015-12,11
2016-01,23
2016-02,17
2016-03,13
2016-04,11
2016-05,10
2016-06,14
2016-07,10
2016-08,9
2016-09,10
2016-10,10
2016-11,24
2016-12,12
2017-01,13
2017-02,13
2017-03,14
2017-04,12
2017-05,11
2017-06,11
2017-07,10
2017-08,12
2017-09,10
2017-10,13
2017-11,14
2017-12,14
2018-01,18
2018-02,37
2018-03,21
2018-04,18
2018-05,13
2018-06,13
2018-07,13
2018-08,14
2018-09,13
2018-10,25
2018-11,20
2018-12,34
2019-01,20
2019-02,16
2019-03,15
2019-04,15
2019-05,18
2019-06,14
2019-07,13
2019-08,23
2019-09,14
2019-10,16
2019-11,15
2019-12,15
2020-01,19
2020-02,36
2020-03,100
2020-04,43
2020-05,29
2020-06,36
2020-07,27
2020-08,22
2020-09,26
2020-10,25
2020-11,29
2020-12,24
2021-01,39
2021-02,35
2021-03,26
2021-04,23
2021-05,22
2021-06,19
2021-07,18
2021-08,16
2021-09,18
2021-10,19
2021-11,22
2021-12,24
2022-01,26
2022-02,28
2022-03,25
2022-04,22
2022-05,34
