Category: All categories

Month,stock: (United States)
2004-01,16
2004-02,15
2004-03,12
2004-04,14
2004-05,11
2004-06,11
2004-07,12
2004-08,12
2004-09,12
2004-10,13
2004-11,14
2004-12,14
2005-01,15
2005-02,15
2005-03,14
2005-04,13
2005-05,13
2005-06,13
2005-07,13
2005-08,13
2005-09,13
2005-10,14
2005-11,16
2005-12,15
2006-01,18
2006-02,17
2006-03,16
2006-04,15
2006-05,14
2006-06,12
2006-07,12
2006-08,12
2006-09,12
2006-10,14
2006-11,13
2006-12,13
2007-01,15
2007-02,15
2007-03,14
2007-04,14
2007-05,13
2007-06,12
2007-07,14
2007-08,14
2007-09,12
2007-10,14
2007-11,15
2007-12,13
2008-01,16
2008-02,14
2008-03,15
2008-04,14
2008-05,13
2008-06,13
2008-07,14
2008-08,11
2008-09,20
2008-10,28
2008-11,20
2008-12,17
2009-01,16
2009-02,16
2009-03,20
2009-04,17
2009-05,15
2009-06,14
2009-07,12
2009-08,13
2009-09,13
2009-10,13
2009-11,13
2009-12,12
2010-01,13
2010-02,13
2010-03,14
2010-04,14
2010-05,14
2010-06,12
2010-07,11
2010-08,11
2010-09,10
2010-10,12
2010-11,12
2010-12,12
2011-01,15
2011-02,15
2011-03,15
2011-04,13
2011-05,12
2011-06,11
2011-07,12
2011-08,17
2011-09,12
2011-10,14
2011-11,13
2011-12,12
2012-01,13
2012-02,15
2012-03,13
2012-04,13
2012-05,16
2012-06,12
2012-07,12
2012-08,12
2012-09,12
2012-10,13
2012-11,14
2012-12,12
2013-01,15
2013-02,15
2013-03,14
2013-04,14
2013-05,15
2013-06,13
2013-07,14
2013-08,14
2013-09,15
2013-10,17
2013-11,17
2013-12,17
2014-01,18
2014-02,18
2014-03,17
2014-04,17
2014-05,16
2014-06,16
2014-07,16
2014-08,14
2014-09,16
2014-10,18
2014-11,16
2014-12,17
2015-01,18
2015-02,18
2015-03,17
2015-04,18
2015-05,16
2015-06,17
2015-07,19
2015-08,23
2015-09,20
2015-10,19
2015-11,18
2015-12,18
2016-01,24
2016-02,24
2016-03,22
2016-04,22
2016-05,21
2016-06,22
2016-07,22
2016-08,21
2016-09,20
2016-10,20
2016-11,26
2016-12,23
2017-01,23
2017-02,27
2017-03,28
2017-04,25
2017-05,26
2017-06,26
2017-07,25
2017-08,26
2017-09,24
2017-10,29
2017-11,29
2017-12,28
2018-01,35
2018-02,39
2018-03,33
2018-04,31
2018-05,29
2018-06,30
2018-07,31
2018-08,34
2018-09,35
2018-10,38
2018-11,33
2018-12,33
2019-01,34
2019-02,32
2019-03,33
2019-04,35
2019-05,34
2019-06,31
2019-07,32
2019-08,35
2019-09,29
2019-10,31
2019-11,32
2019-12,30
2020-01,37
2020-02,47
2020-03,87
2020-04,72
2020-05,60
2020-06,68
2020-07,63
2020-08,60
2020-09,56
2020-10,51
2020-11,58
2020-12,66
2021-01,89
2021-02,100
2021-03,75
2021-04,63
2021-05,58
2021-06,61
2021-07,51
2021-08,50
2021-09,46
2021-10,50
2021-11,57
2021-12,50
2022-01,49
2022-02,53
2022-03,51
2022-04,49
2022-05,55
