Category: All categories

Month,stocks: (United States)
2004-01,28
2004-02,25
2004-03,23
2004-04,22
2004-05,20
2004-06,18
2004-07,17
2004-08,18
2004-09,19
2004-10,20
2004-11,24
2004-12,25
2005-01,24
2005-02,26
2005-03,23
2005-04,20
2005-05,18
2005-06,19
2005-07,20
2005-08,20
2005-09,22
2005-10,22
2005-11,22
2005-12,23
2006-01,26
2006-02,25
2006-03,24
2006-04,24
2006-05,22
2006-06,17
2006-07,18
2006-08,17
2006-09,18
2006-10,20
2006-11,20
2006-12,19
2007-01,22
2007-02,22
2007-03,21
2007-04,20
2007-05,18
2007-06,17
2007-07,20
2007-08,19
2007-09,18
2007-10,25
2007-11,24
2007-12,21
2008-01,28
2008-02,25
2008-03,26
2008-04,24
2008-05,21
2008-06,18
2008-07,20
2008-08,15
2008-09,29
2008-10,45
2008-11,30
2008-12,24
2009-01,23
2009-02,24
2009-03,32
2009-04,26
2009-05,24
2009-06,20
2009-07,17
2009-08,20
2009-09,21
2009-10,22
2009-11,19
2009-12,19
2010-01,22
2010-02,21
2010-03,24
2010-04,22
2010-05,19
2010-06,15
2010-07,12
2010-08,13
2010-09,16
2010-10,19
2010-11,18
2010-12,18
2011-01,24
2011-02,25
2011-03,24
2011-04,22
2011-05,19
2011-06,16
2011-07,17
2011-08,26
2011-09,18
2011-10,20
2011-11,18
2011-12,18
2012-01,20
2012-02,23
2012-03,20
2012-04,18
2012-05,19
2012-06,14
2012-07,14
2012-08,14
2012-09,17
2012-10,17
2012-11,18
2012-12,16
2013-01,20
2013-02,20
2013-03,19
2013-04,18
2013-05,18
2013-06,15
2013-07,15
2013-08,15
2013-09,19
2013-10,21
2013-11,20
2013-12,20
2014-01,25
2014-02,24
2014-03,25
2014-04,20
2014-05,18
2014-06,16
2014-07,16
2014-08,15
2014-09,17
2014-10,20
2014-11,19
2014-12,22
2015-01,22
2015-02,22
2015-03,21
2015-04,20
2015-05,17
2015-06,16
2015-07,17
2015-08,22
2015-09,18
2015-10,18
2015-11,18
2015-12,18
2016-01,23
2016-02,22
2016-03,20
2016-04,20
2016-05,18
2016-06,18
2016-07,18
2016-08,16
2016-09,17
2016-10,18
2016-11,26
2016-12,23
2017-01,26
2017-02,26
2017-03,25
2017-04,22
2017-05,21
2017-06,22
2017-07,20
2017-08,21
2017-09,20
2017-10,27
2017-11,26
2017-12,31
2018-01,35
2018-02,36
2018-03,28
2018-04,24
2018-05,21
2018-06,22
2018-07,21
2018-08,25
2018-09,27
2018-10,29
2018-11,23
2018-12,27
2019-01,27
2019-02,26
2019-03,25
2019-04,24
2019-05,23
2019-06,21
2019-07,21
2019-08,23
2019-09,20
2019-10,21
2019-11,22
2019-12,23
2020-01,31
2020-02,38
2020-03,88
2020-04,68
2020-05,50
2020-06,60
2020-07,46
2020-08,45
2020-09,38
2020-10,34
2020-11,42
2020-12,49
2021-01,96
2021-02,100
2021-03,56
2021-04,49
2021-05,48
2021-06,42
2021-07,31
2021-08,29
2021-09,28
2021-10,31
2021-11,36
2021-12,31
2022-01,33
2022-02,33
2022-03,31
2022-04,29
2022-05,30
