Category: All categories

Month,tesla stock: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,<1
2005-03,0
2005-04,0
2005-05,<1
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,<1
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,<1
2006-07,0
2006-08,<1
2006-09,<1
2006-10,<1
2006-11,0
2006-12,0
2007-01,<1
2007-02,<1
2007-03,<1
2007-04,<1
2007-05,<1
2007-06,<1
2007-07,<1
2007-08,<1
2007-09,<1
2007-10,<1
2007-11,<1
2007-12,<1
2008-01,<1
2008-02,<1
2008-03,<1
2008-04,<1
2008-05,<1
2008-06,<1
2008-07,<1
2008-08,<1
2008-09,<1
2008-10,<1
2008-11,<1
2008-12,<1
2009-01,<1
2009-02,<1
2009-03,<1
2009-04,<1
2009-05,<1
2009-06,<1
2009-07,<1
2009-08,<1
2009-09,<1
2009-10,<1
2009-11,<1
2009-12,<1
2010-01,<1
2010-02,<1
2010-03,<1
2010-04,<1
2010-05,<1
2010-06,1
2010-07,1
2010-08,<1
2010-09,<1
2010-10,<1
2010-11,<1
2010-12,<1
2011-01,<1
2011-02,<1
2011-03,<1
2011-04,<1
2011-05,<1
2011-06,<1
2011-07,<1
2011-08,<1
2011-09,<1
2011-10,<1
2011-11,<1
2011-12,<1
2012-01,<1
2012-02,<1
2012-03,<1
2012-04,<1
2012-05,<1
2012-06,<1
2012-07,<1
2012-08,<1
2012-09,<1
2012-10,<1
2012-11,<1
2012-12,<1
2013-01,<1
2013-02,1
2013-03,<1
2013-04,1
2013-05,4
2013-06,3
2013-07,3
2013-08,5
2013-09,4
2013-10,5
2013-11,5
2013-12,3
2014-01,3
2014-02,6
2014-03,5
2014-04,4
2014-05,3
2014-06,3
2014-07,3
2014-08,3
2014-09,3
2014-10,4
2014-11,2
2014-12,3
2015-01,3
2015-02,3
2015-03,3
2015-04,3
2015-05,5
2015-06,3
2015-07,4
2015-08,5
2015-09,3
2015-10,4
2015-11,3
2015-12,2
2016-01,3
2016-02,5
2016-03,4
2016-04,7
2016-05,4
2016-06,4
2016-07,4
2016-08,3
2016-09,3
2016-10,4
2016-11,4
2016-12,3
2017-01,4
2017-02,5
2017-03,5
2017-04,7
2017-05,7
2017-06,8
2017-07,9
2017-08,7
2017-09,5
2017-10,6
2017-11,10
2017-12,6
2018-01,6
2018-02,7
2018-03,7
2018-04,9
2018-05,9
2018-06,9
2018-07,9
2018-08,20
2018-09,24
2018-10,21
2018-11,8
2018-12,7
2019-01,10
2019-02,7
2019-03,12
2019-04,13
2019-05,17
2019-06,13
2019-07,12
2019-08,7
2019-09,6
2019-10,11
2019-11,13
2019-12,13
2020-01,29
2020-02,66
2020-03,52
2020-04,34
2020-05,30
2020-06,31
2020-07,63
2020-08,74
2020-09,100
2020-10,53
2020-11,54
2020-12,73
2021-01,85
2021-02,74
2021-03,71
2021-04,53
2021-05,44
2021-06,37
2021-07,30
2021-08,31
2021-09,26
2021-10,45
2021-11,65
2021-12,45
2022-01,49
2022-02,42
2022-03,46
2022-04,53
2022-05,58
