Category: All categories

Month,tsla: (United States)
2004-01,<1
2004-02,<1
2004-03,0
2004-04,<1
2004-05,0
2004-06,<1
2004-07,<1
2004-08,<1
2004-09,<1
2004-10,<1
2004-11,0
2004-12,0
2005-01,0
2005-02,<1
2005-03,<1
2005-04,0
2005-05,<1
2005-06,0
2005-07,0
2005-08,<1
2005-09,0
2005-10,<1
2005-11,0
2005-12,<1
2006-01,<1
2006-02,0
2006-03,<1
2006-04,<1
2006-05,<1
2006-06,<1
2006-07,<1
2006-08,<1
2006-09,<1
2006-10,<1
2006-11,<1
2006-12,<1
2007-01,<1
2007-02,0
2007-03,<1
2007-04,<1
2007-05,<1
2007-06,<1
2007-07,<1
2007-08,<1
2007-09,<1
2007-10,<1
2007-11,<1
2007-12,<1
2008-01,<1
2008-02,<1
2008-03,<1
2008-04,<1
2008-05,<1
2008-06,<1
2008-07,<1
2008-08,<1
2008-09,<1
2008-10,<1
2008-11,<1
2008-12,<1
2009-01,<1
2009-02,<1
2009-03,<1
2009-04,<1
2009-05,<1
2009-06,<1
2009-07,<1
2009-08,<1
2009-09,<1
2009-10,<1
2009-11,<1
2009-12,<1
2010-01,<1
2010-02,<1
2010-03,<1
2010-04,<1
2010-05,<1
2010-06,2
2010-07,3
2010-08,1
2010-09,1
2010-10,1
2010-11,1
2010-12,1
2011-01,1
2011-02,1
2011-03,1
2011-04,1
2011-05,1
2011-06,1
2011-07,<1
2011-08,1
2011-09,<1
2011-10,1
2011-11,1
2011-12,<1
2012-01,1
2012-02,1
2012-03,1
2012-04,1
2012-05,1
2012-06,1
2012-07,1
2012-08,1
2012-09,1
2012-10,1
2012-11,1
2012-12,1
2013-01,1
2013-02,2
2013-03,1
2013-04,3
2013-05,12
2013-06,8
2013-07,10
2013-08,15
2013-09,10
2013-10,13
2013-11,17
2013-12,10
2014-01,9
2014-02,17
2014-03,12
2014-04,10
2014-05,11
2014-06,8
2014-07,8
2014-08,9
2014-09,10
2014-10,9
2014-11,7
2014-12,7
2015-01,6
2015-02,8
2015-03,7
2015-04,8
2015-05,9
2015-06,6
2015-07,8
2015-08,9
2015-09,7
2015-10,7
2015-11,6
2015-12,4
2016-01,5
2016-02,9
2016-03,8
2016-04,12
2016-05,8
2016-06,9
2016-07,8
2016-08,7
2016-09,7
2016-10,8
2016-11,8
2016-12,7
2017-01,8
2017-02,12
2017-03,8
2017-04,12
2017-05,14
2017-06,15
2017-07,16
2017-08,12
2017-09,7
2017-10,9
2017-11,14
2017-12,8
2018-01,8
2018-02,9
2018-03,11
2018-04,16
2018-05,17
2018-06,17
2018-07,19
2018-08,37
2018-09,29
2018-10,36
2018-11,14
2018-12,12
2019-01,18
2019-02,16
2019-03,25
2019-04,29
2019-05,33
2019-06,24
2019-07,22
2019-08,12
2019-09,9
2019-10,19
2019-11,17
2019-12,18
2020-01,43
2020-02,78
2020-03,49
2020-04,38
2020-05,31
2020-06,34
2020-07,71
2020-08,64
2020-09,100
2020-10,50
2020-11,49
2020-12,70
2021-01,65
2021-02,58
2021-03,65
2021-04,52
2021-05,43
2021-06,35
2021-07,31
2021-08,29
2021-09,24
2021-10,44
2021-11,60
2021-12,41
2022-01,46
2022-02,36
2022-03,39
2022-04,45
2022-05,49
