Category: All categories

Month,vti stock: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,1
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,2
2005-03,0
2005-04,0
2005-05,2
2005-06,0
2005-07,0
2005-08,0
2005-09,1
2005-10,1
2005-11,1
2005-12,1
2006-01,1
2006-02,2
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,1
2007-01,0
2007-02,<1
2007-03,1
2007-04,0
2007-05,1
2007-06,1
2007-07,<1
2007-08,1
2007-09,<1
2007-10,1
2007-11,1
2007-12,1
2008-01,1
2008-02,1
2008-03,2
2008-04,<1
2008-05,<1
2008-06,2
2008-07,0
2008-08,0
2008-09,<1
2008-10,1
2008-11,1
2008-12,<1
2009-01,1
2009-02,1
2009-03,1
2009-04,1
2009-05,<1
2009-06,<1
2009-07,1
2009-08,<1
2009-09,0
2009-10,0
2009-11,1
2009-12,0
2010-01,1
2010-02,1
2010-03,<1
2010-04,<1
2010-05,<1
2010-06,1
2010-07,<1
2010-08,<1
2010-09,<1
2010-10,<1
2010-11,<1
2010-12,<1
2011-01,1
2011-02,1
2011-03,1
2011-04,<1
2011-05,<1
2011-06,1
2011-07,<1
2011-08,1
2011-09,1
2011-10,<1
2011-11,<1
2011-12,<1
2012-01,<1
2012-02,1
2012-03,1
2012-04,<1
2012-05,1
2012-06,1
2012-07,<1
2012-08,<1
2012-09,<1
2012-10,1
2012-11,1
2012-12,1
2013-01,1
2013-02,1
2013-03,1
2013-04,1
2013-05,1
2013-06,2
2013-07,1
2013-08,1
2013-09,1
2013-10,1
2013-11,2
2013-12,1
2014-01,2
2014-02,2
2014-03,2
2014-04,1
2014-05,2
2014-06,3
2014-07,2
2014-08,2
2014-09,2
2014-10,4
2014-11,3
2014-12,3
2015-01,3
2015-02,3
2015-03,3
2015-04,4
2015-05,3
2015-06,2
2015-07,4
2015-08,6
2015-09,4
2015-10,5
2015-11,3
2015-12,4
2016-01,9
2016-02,8
2016-03,7
2016-04,6
2016-05,5
2016-06,8
2016-07,7
2016-08,4
2016-09,6
2016-10,4
2016-11,7
2016-12,7
2017-01,9
2017-02,11
2017-03,9
2017-04,7
2017-05,10
2017-06,11
2017-07,9
2017-08,11
2017-09,8
2017-10,10
2017-11,9
2017-12,11
2018-01,16
2018-02,21
2018-03,16
2018-04,15
2018-05,13
2018-06,13
2018-07,13
2018-08,16
2018-09,12
2018-10,24
2018-11,19
2018-12,21
2019-01,20
2019-02,16
2019-03,18
2019-04,18
2019-05,21
2019-06,19
2019-07,18
2019-08,23
2019-09,16
2019-10,20
2019-11,18
2019-12,19
2020-01,22
2020-02,35
2020-03,100
2020-04,64
2020-05,47
2020-06,50
2020-07,35
2020-08,30
2020-09,34
2020-10,30
2020-11,34
2020-12,33
2021-01,41
2021-02,54
2021-03,56
2021-04,51
2021-05,50
2021-06,48
2021-07,53
2021-08,51
2021-09,46
2021-10,47
2021-11,53
2021-12,62
2022-01,72
2022-02,70
2022-03,73
2022-04,65
2022-05,91
