Category: All categories

Month,vtsax: (United States)
2004-01,0
2004-02,1
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,1
2006-03,0
2006-04,<1
2006-05,<1
2006-06,0
2006-07,0
2006-08,0
2006-09,1
2006-10,0
2006-11,1
2006-12,0
2007-01,1
2007-02,<1
2007-03,1
2007-04,1
2007-05,0
2007-06,<1
2007-07,0
2007-08,0
2007-09,<1
2007-10,0
2007-11,1
2007-12,1
2008-01,<1
2008-02,<1
2008-03,<1
2008-04,<1
2008-05,<1
2008-06,<1
2008-07,0
2008-08,1
2008-09,0
2008-10,1
2008-11,<1
2008-12,1
2009-01,1
2009-02,0
2009-03,<1
2009-04,1
2009-05,1
2009-06,<1
2009-07,1
2009-08,<1
2009-09,<1
2009-10,<1
2009-11,0
2009-12,<1
2010-01,1
2010-02,<1
2010-03,0
2010-04,<1
2010-05,<1
2010-06,<1
2010-07,<1
2010-08,0
2010-09,1
2010-10,<1
2010-11,1
2010-12,1
2011-01,1
2011-02,2
2011-03,1
2011-04,2
2011-05,1
2011-06,1
2011-07,1
2011-08,2
2011-09,1
2011-10,1
2011-11,1
2011-12,1
2012-01,1
2012-02,1
2012-03,2
2012-04,1
2012-05,1
2012-06,1
2012-07,1
2012-08,1
2012-09,2
2012-10,1
2012-11,2
2012-12,2
2013-01,3
2013-02,2
2013-03,3
2013-04,3
2013-05,3
2013-06,4
2013-07,5
2013-08,4
2013-09,3
2013-10,4
2013-11,4
2013-12,4
2014-01,5
2014-02,6
2014-03,7
2014-04,5
2014-05,5
2014-06,6
2014-07,6
2014-08,7
2014-09,6
2014-10,7
2014-11,6
2014-12,8
2015-01,9
2015-02,9
2015-03,9
2015-04,9
2015-05,9
2015-06,8
2015-07,11
2015-08,13
2015-09,12
2015-10,9
2015-11,8
2015-12,10
2016-01,12
2016-02,10
2016-03,11
2016-04,9
2016-05,7
2016-06,14
2016-07,10
2016-08,11
2016-09,9
2016-10,8
2016-11,11
2016-12,12
2017-01,13
2017-02,14
2017-03,15
2017-04,13
2017-05,14
2017-06,16
2017-07,14
2017-08,15
2017-09,15
2017-10,14
2017-11,13
2017-12,16
2018-01,21
2018-02,27
2018-03,21
2018-04,20
2018-05,16
2018-06,20
2018-07,18
2018-08,21
2018-09,21
2018-10,26
2018-11,24
2018-12,30
2019-01,30
2019-02,28
2019-03,26
2019-04,29
2019-05,31
2019-06,31
2019-07,28
2019-08,34
2019-09,23
2019-10,28
2019-11,27
2019-12,34
2020-01,41
2020-02,53
2020-03,100
2020-04,55
2020-05,41
2020-06,50
2020-07,43
2020-08,44
2020-09,44
2020-10,34
2020-11,40
2020-12,46
2021-01,55
2021-02,59
2021-03,54
2021-04,52
2021-05,48
2021-06,43
2021-07,43
2021-08,39
2021-09,37
2021-10,34
2021-11,34
2021-12,48
2022-01,57
2022-02,50
2022-03,44
2022-04,40
2022-05,53
