Month,Unemployment_rate,indeed jobs: (United States),jobs near me: (United States),amazon jobs: (United States),jobs hiring near me: (United States),usaa jobs: (United States),work from home jobs: (United States),part time jobs near me: (United States),walmart careers: (United States),handshake: (United States),jobs: (United States),government jobs: (United States),amazon careers: (United States),online jobs: (United States),career: (United States),work from home: (United States),linkedin jobs: (United States),remote jobs: (United States),google jobs: (United States),part time jobs: (United States),employment: (United States),google careers: (United States),target careers: (United States),amazon force: (United States),hiring near me: (United States),ups jobs: (United States),walmart jobs: (United States),walmart application: (United States),jobs hiring: (United States),ups careers: (United States),freelance: (United States),civil service jobs: (United States),apprenticeship: (United States),data entry jobs: (United States),job search: (United States),job vacancy: (United States),part time: (United States),software engineer: (United States),edjoin: (United States),freelance jobs: (United States),apple home advisor: (United States),target jobs: (United States),places hiring near me: (United States),side hustle: (United States),virtual assistant jobs: (United States),monster jobs: (United States),warehouse jobs near me: (United States),higher ed jobs: (United States),administrative assistant: (United States),microsoft careers: (United States),accenture careers: (United States)
2004-02,-0.10000000000000053,0.0,0.0,0.5,0.0,18,9,0.0,2,12,51,85,1.0,44,68,20,0.0,1.0,5,25,82,3,1,3,0.0,12,7,5,3,6,82,68,48,14,85,50,31,33,26,70,0.0,13,0.0,0.0,2,70,0.0,24,32,33,0
2004-03,0.20000000000000018,0.0,0.0,1.0,0.0,9,6,0.0,2,9,53,77,2.0,42,69,21,0.0,1.0,5,20,81,1,7,5,0.0,20,14,5,6,9,89,66,51,27,82,64,29,28,24,72,0.0,11,0.0,2.0,3,73,0.0,31,32,14,0
2004-04,-0.20000000000000018,0.0,0.0,1.0,0.0,14,6,0.0,1,10,54,83,1.0,38,68,17,0.0,1.0,10,22,89,9,2,0,0.0,20,12,1,4,7,84,100,59,19,75,49,30,29,35,75,0.0,14,0.0,0.0,4,68,0.0,19,51,11,0
2004-05,0.0,0.0,0.0,1.0,0.0,23,6,0.0,1,14,55,82,0.0,46,64,19,0.0,1.0,10,24,91,4,2,6,0.0,19,13,8,4,8,82,64,48,24,84,50,31,33,38,98,1.0,12,0.0,0.0,2,85,0.0,40,27,10,0
2004-06,0.0,0.0,0.5,1.0,0.0,20,6,0.0,2,10,58,88,0.0,46,61,19,0.0,1.0,7,26,100,6,1,4,0.0,22,12,6,6,15,87,58,49,25,88,48,36,29,50,85,0.0,15,0.0,2.0,4,86,0.0,22,26,35,7
2004-07,-0.09999999999999964,0.0,0.0,1.0,0.0,10,7,0.0,1,9,56,88,1.0,47,60,22,0.0,1.0,10,24,99,2,2,5,0.0,22,10,4,4,10,86,86,60,30,81,41,33,37,29,89,0.0,10,0.0,0.0,2,86,0.0,27,29,15,7
2004-08,-0.09999999999999964,0.0,0.0,1.0,0.0,9,8,0.0,1,12,53,87,1.0,47,60,21,0.0,0.5,8,28,96,5,1,2,0.0,18,12,7,5,10,87,71,45,37,77,66,38,37,34,70,0.0,13,0.0,0.0,2,78,0.0,21,31,14,6
2004-09,0.0,0.0,0.0,0.5,0.0,12,7,0.0,2,13,49,76,1.0,43,69,21,0.0,1.0,7,26,90,4,3,4,0.0,17,14,4,4,10,79,74,51,33,72,43,36,32,26,69,0.0,11,0.0,0.0,3,72,0.0,20,22,22,0
2004-10,0.09999999999999964,0.5,0.5,1.0,0.0,6,7,0.5,3,14,48,74,0.0,42,66,20,1.0,1.0,8,21,81,4,4,1,0.0,25,14,8,3,17,73,68,62,22,66,41,31,31,22,70,0.0,9,0.0,0.0,0,66,0.0,24,24,23,0
2004-11,-0.09999999999999964,0.0,0.5,1.0,0.0,18,4,0.0,2,11,46,76,1.0,38,62,15,0.0,1.0,8,20,70,4,6,0,0.0,30,15,8,3,16,63,76,55,27,63,42,27,32,19,76,0.0,16,0.0,0.0,4,67,0.0,27,17,19,0
