Category: All categories,
,
Month,Inflation topic
2004-01,39
2004-02,38
2004-03,45
2004-04,48
2004-05,39
2004-06,38
2004-07,32
2004-08,30
2004-09,31
2004-10,38
2004-11,42
2004-12,35
2005-01,34
2005-02,39
2005-03,38
2005-04,41
2005-05,36
2005-06,32
2005-07,28
2005-08,29
2005-09,34
2005-10,39
2005-11,39
2005-12,31
2006-01,33
2006-02,35
2006-03,35
2006-04,41
2006-05,39
2006-06,34
2006-07,27
2006-08,27
2006-09,30
2006-10,32
2006-11,33
2006-12,31
2007-01,28
2007-02,35
2007-03,31
2007-04,34
2007-05,33
2007-06,27
2007-07,27
2007-08,27
2007-09,32
2007-10,36
2007-11,39
2007-12,34
2008-01,40
2008-02,42
2008-03,44
2008-04,48
2008-05,41
2008-06,43
2008-07,39
2008-08,34
2008-09,39
2008-10,47
2008-11,40
2008-12,35
2009-01,34
2009-02,40
2009-03,43
2009-04,39
2009-05,35
2009-06,35
2009-07,28
2009-08,28
2009-09,33
2009-10,35
2009-11,36
2009-12,32
2010-01,33
2010-02,36
2010-03,36
2010-04,36
2010-05,34
2010-06,27
2010-07,24
2010-08,25
2010-09,28
2010-10,34
2010-11,40
2010-12,31
2011-01,29
2011-02,35
2011-03,32
2011-04,39
2011-05,30
2011-06,25
2011-07,25
2011-08,25
2011-09,27
2011-10,28
2011-11,28
2011-12,25
2012-01,25
2012-02,28
2012-03,28
2012-04,29
2012-05,26
2012-06,22
2012-07,20
2012-08,20
2012-09,28
2012-10,31
2012-11,27
2012-12,24
2013-01,26
2013-02,32
2013-03,30
2013-04,35
2013-05,29
2013-06,21
2013-07,20
2013-08,20
2013-09,26
2013-10,33
2013-11,32
2013-12,31
2014-01,29
2014-02,33
2014-03,34
2014-04,38
2014-05,36
2014-06,24
2014-07,23
2014-08,22
2014-09,30
2014-10,36
2014-11,34
2014-12,31
2015-01,34
2015-02,35
2015-03,36
2015-04,39
2015-05,36
2015-06,24
2015-07,24
2015-08,23
2015-09,34
2015-10,36
2015-11,37
2015-12,37
2016-01,31
2016-02,37
2016-03,36
2016-04,38
2016-05,33
2016-06,22
2016-07,20
2016-08,20
2016-09,29
2016-10,33
2016-11,36
2016-12,34
2017-01,31
2017-02,36
2017-03,38
2017-04,36
2017-05,34
2017-06,24
2017-07,23
2017-08,23
2017-09,30
2017-10,36
2017-11,37
2017-12,35
2018-01,34
2018-02,44
2018-03,37
2018-04,39
2018-05,37
2018-06,27
2018-07,29
2018-08,30
2018-09,36
2018-10,39
2018-11,38
2018-12,35
2019-01,34
2019-02,39
2019-03,39
2019-04,41
2019-05,38
2019-06,28
2019-07,29
2019-08,27
2019-09,33
2019-10,37
2019-11,38
2019-12,35
2020-01,33
2020-02,39
2020-03,36
2020-04,40
2020-05,37
2020-06,30
2020-07,31
2020-08,32
2020-09,37
2020-10,36
2020-11,32
2020-12,37
2021-01,41
2021-02,52
2021-03,51
2021-04,48
2021-05,73
2021-06,58
2021-07,49
2021-08,42
2021-09,45
2021-10,64
2021-11,84
2021-12,73
2022-01,78
2022-02,89
2022-03,89
2022-04,89
2022-05,100
2022-06,87
