Category: All categories,
,
Month,Job topic
2004-01,68
2004-02,61
2004-03,65
2004-04,66
2004-05,67
2004-06,70
2004-07,67
2004-08,64
2004-09,62
2004-10,59
2004-11,55
2004-12,51
2005-01,64
2005-02,59
2005-03,61
2005-04,61
2005-05,63
2005-06,64
2005-07,60
2005-08,61
2005-09,59
2005-10,54
2005-11,50
2005-12,46
2006-01,61
2006-02,56
2006-03,59
2006-04,58
2006-05,60
2006-06,59
2006-07,61
2006-08,61
2006-09,58
2006-10,54
2006-11,50
2006-12,45
2007-01,63
2007-02,57
2007-03,55
2007-04,58
2007-05,63
2007-06,64
2007-07,64
2007-08,64
2007-09,60
2007-10,60
2007-11,55
2007-12,48
2008-01,67
2008-02,62
2008-03,64
2008-04,68
2008-05,67
2008-06,72
2008-07,71
2008-08,67
2008-09,71
2008-10,69
2008-11,67
2008-12,63
2009-01,84
2009-02,76
2009-03,74
2009-04,68
2009-05,72
2009-06,76
2009-07,75
2009-08,74
2009-09,74
2009-10,70
2009-11,67
2009-12,60
2010-01,78
2010-02,71
2010-03,72
2010-04,73
2010-05,74
2010-06,76
2010-07,71
2010-08,69
2010-09,66
2010-10,63
2010-11,61
2010-12,52
2011-01,73
2011-02,68
2011-03,70
2011-04,69
2011-05,73
2011-06,77
2011-07,73
2011-08,77
2011-09,72
2011-10,69
2011-11,64
2011-12,55
2012-01,71
2012-02,64
2012-03,64
2012-04,68
2012-05,70
2012-06,71
2012-07,70
2012-08,73
2012-09,69
2012-10,69
2012-11,62
2012-12,52
2013-01,71
2013-02,65
2013-03,63
2013-04,69
2013-05,69
2013-06,71
2013-07,72
2013-08,70
2013-09,69
2013-10,68
2013-11,60
2013-12,55
2014-01,73
2014-02,67
2014-03,67
2014-04,71
2014-05,72
2014-06,73
2014-07,76
2014-08,70
2014-09,69
2014-10,66
2014-11,61
2014-12,57
2015-01,70
2015-02,64
2015-03,68
2015-04,70
2015-05,70
2015-06,75
2015-07,71
2015-08,72
2015-09,68
2015-10,64
2015-11,59
2015-12,55
2016-01,69
2016-02,69
2016-03,65
2016-04,64
2016-05,69
2016-06,71
2016-07,67
2016-08,69
2016-09,66
2016-10,63
2016-11,60
2016-12,54
2017-01,70
2017-02,62
2017-03,68
2017-04,65
2017-05,69
2017-06,72
2017-07,71
2017-08,73
2017-09,67
2017-10,67
2017-11,61
2017-12,55
2018-01,71
2018-02,66
2018-03,65
2018-04,70
2018-05,71
2018-06,72
2018-07,73
2018-08,76
2018-09,70
2018-10,70
2018-11,61
2018-12,56
2019-01,74
2019-02,70
2019-03,66
2019-04,67
2019-05,71
2019-06,72
2019-07,75
2019-08,78
2019-09,100
2019-10,67
2019-11,62
2019-12,59
2020-01,75
2020-02,69
2020-03,57
2020-04,50
2020-05,55
2020-06,63
2020-07,61
2020-08,62
2020-09,60
2020-10,60
2020-11,53
2020-12,50
2021-01,56
2021-02,57
2021-03,55
2021-04,56
2021-05,60
2021-06,64
2021-07,63
2021-08,65
2021-09,62
2021-10,61
2021-11,58
2021-12,56
2022-01,64
2022-02,63
2022-03,64
2022-04,62
2022-05,66
2022-06,73
