Month,cpi_rate,inflation: (United States)
2004-02,0.005399568,34
2004-03,0.006444683,39
2004-04,0.003201708,44
2004-05,0.005851064,35
2004-06,0.003172924,33
2004-07,-0.001581444,29
2004-08,0.000527983,27
2004-09,0.002110818,29
2004-10,0.005265929,34
2004-11,0.000523834,37
2004-12,-0.003664921,31
2005-01,0.002101944,30
2005-02,0.005768222,35
2005-03,0.007820647,33
2005-04,0.006725297,38
2005-05,-0.001027749,32
2005-06,0.000514403,30
2005-07,0.004627249,25
2005-08,0.005117707,26
2005-09,0.012219959,31
2005-10,0.002012072,35
2005-11,-0.008032129,35
2005-12,-0.004048583,29
2006-01,0.007621951,31
2006-02,0.002017146,31
2006-03,0.005535984,32
2006-04,0.008508509,38
2006-05,0.004962779,35
2006-06,0.001975309,30
2006-07,0.002957122,24
2006-08,0.001965602,25
2006-09,-0.004904365,27
2006-10,-0.00542139,29
2006-11,-0.00148662,31
2006-12,0.001488834,29
2007-01,0.003052527,25
2007-02,0.005350368,30
2007-03,0.009105696,26
2007-04,0.006496163,31
2007-05,0.006110719,30
2007-06,0.001937975,24
2007-07,-0.000254377,25
2007-08,-0.001833902,24
2007-09,0.002755907,29
2007-10,0.002139191,32
2007-11,0.005939618,33
2007-12,-0.000670863,31
2008-01,0.004970576,34
2008-02,0.002904112,37
2008-03,0.008668213,39
2008-04,0.006064778,42
2008-05,0.008420886,35
2008-06,0.010076997,36
2008-07,0.005251011,33
2008-08,-0.003991562,29
2008-09,-0.001383019,34
2008-10,-0.010101333,40
2008-11,-0.019152895,34
2008-12,-0.010342474,30
2009-01,0.004352417,29
2009-02,0.004972933,34
2009-03,0.002431748,37
2009-04,0.002496368,33
2009-05,0.002888764,29
2009-06,0.008589892,29
2009-07,-0.001585587,23
2009-08,0.00224285,23
2009-09,0.000625481,27
2009-10,0.000963101,29
2009-11,0.000707753,30
2009-12,-0.001761198,27
2010-01,0.003417474,26
2010-02,0.000249207,29
2010-03,0.004106284,30
2010-04,0.001736885,30
2010-05,0.000775197,27
2010-06,-0.000976267,21
2010-07,0.000211043,20
2010-08,0.001380664,20
2010-09,0.000581736,23
2010-10,0.001245199,28
2010-11,0.000420646,32
2010-12,0.001718441,26
2011-01,0.00476323,26
2011-02,0.004931365,31
2011-03,0.009751072,29
2011-04,0.00643943,36
2011-05,0.004704188,27
2011-06,-0.001070967,23
2011-07,0.000886046,23
2011-08,0.002757589,23
2011-09,0.001518462,25
2011-10,-0.002062683,26
