Month,Economy: (United States),Unemployment_rate
2004-02,50,0.1
2004-03,47,0.2
2004-04,60,0.2
2004-05,44,0
2004-06,32,0
2004-07,31,0.1
2004-08,30,0.1
2004-09,42,0
2004-10,46,0.1
2004-11,51,0.1
2004-12,40,0
2005-01,38,0.1
2005-02,39,0.1
2005-03,39,0.2
2005-04,44,0
2005-05,41,0.1
2005-06,32,0.1
2005-07,23,0
2005-08,30,0.1
2005-09,37,0.1
2005-10,36,0
2005-11,40,0
2005-12,32,0.1
2006-01,30,0.2
2006-02,37,0.1
2006-03,35,0.1
2006-04,40,0
2006-05,35,0.1
2006-06,25,0
2006-07,21,0.1
2006-08,22,0
2006-09,28,0.2
2006-10,30,0.1
2006-11,31,0.1
2006-12,26,0.1
2007-01,26,0.2
2007-02,29,0.1
2007-03,30,0.1
2007-04,30,0.1
2007-05,31,0.1
2007-06,21,0.2
2007-07,20,0.1
2007-08,23,0.1
2007-09,33,0.1
2007-10,36,0
2007-11,40,0
2007-12,31,0.3
2008-01,48,0
2008-02,50,0.1
2008-03,55,0.2
2008-04,63,0.1
2008-05,61,0.4
2008-06,42,0.2
2008-07,36,0.2
2008-08,32,0.3
2008-09,80,0
2008-10,100,0.4
2008-11,82,0.3
2008-12,68,0.5
2009-01,66,0.5
2009-02,92,0.5
2009-03,83,0.4
2009-04,65,0.3
2009-05,61,0.4
2009-06,45,0.1
2009-07,44,0
2009-08,38,0.1
2009-09,48,0.2
2009-10,53,0.2
2009-11,55,0.1
2009-12,41,0
2010-01,40,0.1
2010-02,53,0
2010-03,51,0.1
2010-04,56,0
2010-05,52,0.3
2010-06,36,0.2
2010-07,32,0
2010-08,39,0.1
2010-09,43,0
2010-10,46,0.1
2010-11,48,0.4
2010-12,37,0.5
2011-01,29,0.2
2011-02,35,0.1
2011-03,36,0
2011-04,37,0.1
2011-05,30,0.1
2011-06,26,0.1
2011-07,26,0.1
2011-08,30,0
2011-09,33,0
2011-10,34,0.2
2011-11,35,0.2
2011-12,28,0.1
2012-01,27,0.2
2012-02,30,0
2012-03,27,0.1
2012-04,31,0
2012-05,28,0
2012-06,24,0
2012-07,22,0
2012-08,23,0.1
2012-09,31,0.3
2012-10,33,0
2012-11,32,0.1
2012-12,26,0.2
2013-01,24,0.1
2013-02,30,0.3
2013-03,27,0.2
2013-04,29,0.1
2013-05,26,0.1
2013-06,19,0
2013-07,19,0.2
2013-08,19,0.1
2013-09,27,0
2013-10,30,0
2013-11,27,0.3
2013-12,24,0.2
2014-01,23,0.1
2014-02,28,0.1
2014-03,26,0
2014-04,28,0.5
2014-05,26,0.1
2014-06,20,0.2
2014-07,17,0.1
2014-08,19,0.1
2014-09,28,0.2
2014-10,29,0.2
2014-11,28,0.1
2014-12,26,0.2
2015-01,28,0.1
2015-02,28,0.2
2015-03,28,0.1
2015-04,30,0
2015-05,27,0.2
2015-06,22,0.3
2015-07,23,0.1
2015-08,26,0.1
2015-09,32,0.1
2015-10,30,0
2015-11,29,0.1
2015-12,26,0.1
2016-01,28,0.2
2016-02,31,0.1
2016-03,27,0.1
2016-04,29,0.1
2016-05,27,0.3
2016-06,22,0.1
2016-07,17,0.1
2016-08,19,0.1
2016-09,25,0.1
2016-10,25,0.1
2016-11,27,0.2
2016-12,22,0
2017-01,22,0
2017-02,25,0.1
2017-03,25,0.2
2017-04,24,0
2017-05,22,0
2017-06,17,0.1
2017-07,14,0
2017-08,17,0.1
2017-09,22,0.1
2017-10,24,0.1
2017-11,23,0
2017-12,20,0.1
2018-01,21,0.1
2018-02,25,0.1
2018-03,22,0.1
2018-04,24,0
2018-05,22,0.2
2018-06,17,0.2
2018-07,16,0.2
2018-08,18,0
2018-09,24,0.1
2018-10,26,0.1
2018-11,23,0
2018-12,22,0.1
2019-01,22,0.1
2019-02,24,0.2
2019-03,23,0
2019-04,24,0.2
2019-05,22,0
2019-06,16,0
2019-07,16,0.1
2019-08,20,0
2019-09,23,0.2
2019-10,23,0.1
2019-11,22,0
2019-12,20,0
2020-01,20,0.1
2020-02,26,0
2020-03,54,0.9
2020-04,68,10.3
2020-05,40,1.5
2020-06,22,2.2
2020-07,20,0.8
2020-08,20,1.8
2020-09,29,0.5
2020-10,24,1
2020-11,20,0.2
2020-12,20,0
2021-01,23,0.3
2021-02,22,0.2
2021-03,29,0.2
2021-04,22,0
2021-05,20,0.2
2021-06,15,0.1
2021-07,15,0.5
2021-08,15,0.2
2021-09,19,0.5
2021-10,21,0.1
2021-11,20,0.4
2021-12,18,0.3
2022-01,18,0.1
2022-02,22,0.2
2022-03,23,0.2
